,Restaurant Name,Restaurant Cuisine,Restaurant Rating,Restaurant Delivery Time,Restaurant Distance,Discount,Promo,Images
0,Eat Bar - South Bridge Road,"Western, Chinese, Local & Malaysian",4.2,25 mins,1.1 km,Free Delivery (Min. spend S$20) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-C4NBHA5KRYCYJE/hero/867bfbeacd2f4a7f86dc0d4bb2e540ce_1698203132044072519.webp
1,Lucky Cafe - North Canal Road,"Chinese, Noodles, Western, Filipino",4.3,25 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZDWARLXDBJYKE/hero/67a9ec9da44e49aa8e7042e8a9dff860_1588835556299839244.webp
2,SF Fruits & Juices - Fullerton Waterboat House,"Healthy, Drinks & Beverages, Fresh Produce",4.3,30 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C4MDVPMAFGAJUE/hero/f46722ef8eb44d39a2b201efa20c4914_1696402075287957203.webp
3,uMart@BoatQuay - Lorong Telok,"Alcohol, Snacks, Groceries, Convenience, Drinks & Beverages",4.7,20 mins,0.8 km,30% off storewide T&C apply.,True,https://food-cms.grab.com/compressed_webp/merchants/4-C4DUNYMVBAL2FA/hero/c909b3ceb41f45ccbc22d68cf4b35223_1687168584666748724.webp
4,uBooze@BoatQuay - Lorong Telok,"Alcohol, Snacks, Beer, Convenience, Drinks & Beverages",4.3,20 mins,0.8 km,30% off storewide T&C apply.,True,https://food-cms.grab.com/compressed_webp/merchants/4-C4DUNYMVAUW2NT/hero/06721da861df4e9fa9f167aba9deae7f_1687169005933947039.webp
5,Burger King - Boat Quay,"Burgers, Fast Food",5,20 mins,0.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C6K3LLJBMFKZCT/hero/c1cd7fe27ff742d5a4bf4dd216b9a3a2_1714530917680052066.webp
6,McDonald's - Boat Quay,"Burger, Fast Food, Halal",4.2,15 mins,0.6 km,S$0.20 off on selected items,True,https://food-cms.grab.com/compressed_webp/merchants/SGDD04944/hero/d2447ac38a2541769b115b2a1d25291d_1677816675499200090.webp
7,Dabao Bento - High Street Plaza,"Japanese, Bento, Fried Chicken",4.5,25 mins,0.7 km,,True,https://food-cms.grab.com/compressed_webp/merchants/4-C4BFVF3DCBDUCE/hero/ac5c8cbd-afd1-441e-adcb-4606544a4272__store_cover__2023__05__05__12__05__58.webp
8,LaPasta - High Street Plaza,"Italian, Pasta",4.8,20 mins,0.5 km,"20% off storewide, min spend S$20. T&C apply.",True,https://food-cms.grab.com/compressed_webp/merchants/4-C4BFUFV3JAMCRE/hero/b8395813-f426-48bc-985e-b221a6e87654__store_cover__2023__05__05__12__03__15.webp
9,Fat Bao Bao - High Street Plaza,"Local & Malaysian, Snack",4.5,20 mins,0.7 km,,True,https://food-cms.grab.com/compressed_webp/merchants/4-C3X1VRMCLN6WVX/hero/ac3684d5-20ce-4095-bd47-560ab590bd87__store_cover__2023__05__05__12__09__39.webp
10,JonesMart - High Street Plaza,"Alcohol, Beverages, Convenience, Mart, Islandwide Delivery",4.8,65 mins,0.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2THARCHMENDVT/hero/d8c316ab8be2473dbdb5fbd757e93d71_1620703847662082289.webp
11,Sinfonia Ristorante - Victoria Memorial Hall,Italian,4,20 mins,0.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2TYVGBWUFVVHA/hero/5707921440f04a85a850a8ac83979c55_1629085444905478471.webp
12,Tribe Restaurant - Old Parliament House,"Western, Burgers",5,20 mins,0.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZDCKELAENM3NA/hero/ae25a90b9aae4b7e99001d73ab0324fd_1586249143681878859.webp
13,Empress - Asian Civilisations Museum,"Chinese, Local & Malaysian, Seafood",5,25 mins,0.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZDTEXAWGTMYLE/hero/7f4aa98427a34d3788e8bc3e3e6c34b3_1600657385311287218.webp
14,Picotin - Waterboat House,"Western, Drinks & Beverages, Pizza, Pasta, Snack",,20 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C4DALB43TY2WCJ/hero/94c53e649fad42848cc0c60e30423826_1686050778873730126.webp
15,The Fullerton Hotel Singapore Festive Store - The Fullerton Hotel,Mart,5,25 mins,1.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3TCA352NN3GCA/hero/f1f9ee25dda049e68ba791e13ceeb0a0_1660271167943234139.webp
16,SF Farm Mart - The Fullerton Waterboat House,"Mart, Groceries",4.1,25 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZKXEEBHJ3XDNJ/hero/12611f129f3743ae9c023d5f11b3bbb0_1593422840239833283.webp
17,Tandoori Zaika - 70 Boat Quay,"Indian, Salad, Seafood, Vegetarian Friendly",4.3,35 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZD3LRMAWEKVLJ/hero/f16271f786a24ce7a0ce8486115202d8_1627296644855750291.webp
18,The Salad Shop - UOB Plaza 2,"Vegetarian Friendly, Salad, Healthy, Vegan, Group Friendly",4.4,30 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2VKKAVDLEXCA6/hero/c117acbb9cdd41d8bb271e27ada4cc2c_1630487838875622884.webp
19,Indian House/Dumpukht Grills & Curry - Boat Quay,"Indian, Vegetarian Friendly, Seafood",3.4,25 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD07393/hero/f54422da75504e9f96c5dd7419fe71da_1682666212276836527.webp
20,Shangdong Restaurant - Boat Quay,"Chinese, Dim Sum, Seafood",4,30 mins,0.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZEXJE2USE4HJN/hero/b28c4b6db6d144948650d23f9a33192d_1589441315313311413.webp
21,Dum Pukht Curry - Boat Quay,"Indian, Local & Malaysian, Seafood",3.8,30 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZACRXVZNJMETT/hero/844cc5b3407740eebe3a30e513849d74_1580275260092443877.webp
22,Surrey Hills Deli - Battery Road,"Coffee & Tea, Western, Breakfast & Brunch, Seafood, Snack",5,30 mins,1.1 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C4EUGETXNZEJJA/hero/082f8878255e443dad2d25d651c7bc73_1689131280927155945.webp
23,Starbucks - Battery Road,"Coffee & Tea, Bakery & Cake, Drinks & Beverages",3.7,30 mins,1.1 km,Free Delivery (Min. spend S$25) with GrabUnlimited,True,https://food-cms.grab.com/compressed_webp/merchants/4-C3XWLKDXEKKUJA/hero/75c46e99915e4ba299f64071b9c93e18_1710522252703835893.webp
24,BQ Bar - Boat Quay,"BBQ & Grill, Western, Salad",5,20 mins,1.4 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZNFGN3GT3UYJN/hero/fdc9c333740b4ecb9f23a80efa6feb9e_1598541935590944612.webp
25,Biryani Bae - Boat Quay,"Indian, Dessert, Drinks & Beverages",3.2,25 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZLGVPX1WAB2WE/hero/d6e9d54ec9a2423f970e50172c4a43da_1594695527475491179.webp
26,Kinara - Boat Quay,"Indian, Vegetarian, Seafood, Salad, Drinks & Beverages",3.9,30 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD00657/hero/60acada102c446c699103a31b7f9ac20_1560743531458013984.webp
27,Sahara Bar & Restaurant - 58 Boat Quay,"Middle Eastern, Western",3.7,25 mins,0.8 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD01002/hero/86fc15f26e31498d83e7592dee04bc47_1605089391573201020.webp
28,Tong Fu Ju - 50 Boat Quay,"Chinese, Seafood, Noodles",4.6,30 mins,1.3 km,,False,https://food-cms.grab.com/compressed_webp/merchants/SGDD01175/hero/upload-photo-Hero_Photo_c6fb468e8f784969ab6c047a1af94f6a_1555562237850007338.webp
